lat,cdf
17.7,0.00018401379803958
17.737,0.00018414402719602
17.762,0.00018440448550888
17.874,0.00018466494382175
17.875,0.00018479517297818
17.999,0.00018505563129104
18,0.00018518586044748
18.05,0.00018531608960391
18.062,0.00018544631876034
18.2,0.00018557654791678
18.312,0.00018596723538607
18.487,0.00018609746454251
18.562,0.00018622769369894
18.574,0.00018635792285537
18.575,0.00018648815201181
18.587,0.00018661838116824
18.837,0.00018700906863754
18.85,0.00018713929779397
19.049,0.00018739975610684
19.124,0.00018752998526327
19.125,0.0001876602144197
19.387,0.00018818113104543
19.637,0.00018831136020187
19.65,0.00018857181851473
19.662,0.00018870204767116
19.812,0.0001888322768276
19.824,0.00018896250598403
19.912,0.0001892229642969
20.15,0.00018935319345333
20.162,0.00018948342260976
20.175,0.00018961365176619
20.187,0.00018974388092263
20.349,0.00018987411007906
20.425,0.00019000433923549
20.437,0.00019026479754836
20.712,0.00019039502670479
20.724,0.00019052525586122
20.962,0.00019065548501766
20.975,0.00019078571417409
21.224,0.00019091594333052
21.237,0.00019104617248695
21.499,0.00019117640164339
21.5,0.00019130663079982
21.762,0.00019143685995625
21.775,0.00019156708911269
22.024,0.00019169731826912
22.037,0.00019182754742555
22.3,0.00019195777658198
22.312,0.00019208800573842
22.437,0.00019221823489485
22.512,0.00019247869320772
22.562,0.00019260892236415
22.625,0.00019273915152058
22.662,0.00019286938067701
22.7,0.00019299960983345
22.787,0.00019326006814631
22.974,0.00019339029730275
22.975,0.00019352052645918
23.037,0.00019378098477204
23.05,0.00019391121392848
23.062,0.00019404144308491
23.312,0.00019417167224134
23.324,0.00019430190139778
23.325,0.00019456235971064
23.437,0.00019469258886707
23.475,0.00019482281802351
23.487,0.00019521350549281
23.524,0.00019664602621357
23.525,0.00019807854693433
23.537,0.00020289702572234
23.549,0.00020302725487877
23.587,0.00020328771319164
23.687,0.00020341794234807
23.85,0.00020354817150451
23.862,0.00020367840066094
23.899,0.00020380862981737
23.912,0.0002039388589738
24.124,0.00020406908813024
24.125,0.00020419931728667
24.25,0.00020445977559954
24.387,0.00020498069222527
24.662,0.00020524115053813
24.674,0.00020537137969457
24.675,0.000205501608851
24.899,0.00020576206716386
24.962,0.0002058922963203
25.112,0.00020602252547673
25.187,0.0002062829837896
25.299,0.00020641321294603
25.312,0.00020654344210246
25.437,0.00020680390041533
25.487,0.00020693412957176
25.699,0.00020706435872819
25.7,0.00020719458788463
25.812,0.00020732481704106
25.824,0.00020745504619749
25.874,0.00020758527535392
25.875,0.00020771550451036
25.925,0.00020784573366679
25.937,0.00020797596282322
26.237,0.00020823642113609
26.424,0.00020836665029252
26.425,0.00020849687944895
26.499,0.00020862710860539
26.5,0.00020875733776182
26.687,0.00020901779607468
26.724,0.00020914802523112
26.725,0.00020927825438755
26.95,0.00020940848354398
26.962,0.00020953871270042
27.037,0.00020979917101328
27.212,0.00020992940016971
27.225,0.00021005962932615
27.312,0.00021032008763901
27.474,0.00021045031679545
27.475,0.00021058054595188
27.574,0.00021071077510831
27.575,0.00021084100426474
27.762,0.00021097123342118
27.775,0.00021110146257761
27.837,0.00021136192089048
28.012,0.00021162237920334
28.099,0.00021175260835977
28.1,0.00021188283751621
28.287,0.00021214329582907
28.374,0.00021227352498551
28.375,0.00021240375414194
28.524,0.00021253398329837
28.525,0.0002126642124548
28.587,0.00021279444161124
28.649,0.00021292467076767
28.812,0.00021318512908054
28.887,0.0002134455873934
28.987,0.00021357581654983
29.112,0.0002138362748627
29.362,0.00021396650401913
29.374,0.00021409673317557
29.462,0.000214226962332
29.562,0.00021435719148843
29.712,0.00021448742064486
29.949,0.0002146176498013
29.95,0.00021474787895773
30.299,0.00021487810811416
30.3,0.00021500833727059
30.475,0.00021513856642703
30.624,0.00021526879558346
30.812,0.00021552925389633
30.937,0.00021578971220919
31.175,0.00021591994136562
31.412,0.00021605017052206
31.524,0.00021618039967849
31.625,0.00021631062883492
31.7,0.00021644085799136
31.987,0.00021657108714779
31.999,0.00021670131630422
32.237,0.00021683154546065
32.362,0.00021696177461709
32.462,0.00021709200377352
32.475,0.00021722223292995
32.949,0.00021735246208639
33.012,0.00021748269124282
33.275,0.00021761292039925
33.287,0.00021774314955568
33.549,0.00021787337871212
33.55,0.00021800360786855
33.812,0.00021813383702498
33.824,0.00021826406618142
34.062,0.00021839429533785
34.075,0.00021852452449428
34.337,0.00021865475365071
34.349,0.00021878498280715
34.462,0.00021891521196358
34.612,0.00021917567027645
34.712,0.00021930589943288
34.724,0.00021943612858931
34.774,0.00021956635774574
34.775,0.00021969658690218
34.862,0.00021982681605861
34.875,0.00021995704521504
34.962,0.00022008727437148
34.975,0.00022021750352791
35.1,0.00022034773268434
35.112,0.00022047796184077
35.162,0.00022060819099721
35.175,0.00022073842015364
35.374,0.00022086864931007
35.462,0.0002209988784665
35.499,0.00022112910762294
35.75,0.00022125933677937
35.762,0.0002213895659358
36.024,0.00022151979509224
36.037,0.00022165002424867
36.299,0.0002217802534051
36.3,0.00022191048256153
36.562,0.00022204071171797
36.575,0.0002221709408744
36.824,0.00022230117003083
36.837,0.00022243139918727
37.087,0.0002225616283437
37.1,0.00022269185750013
37.362,0.000222952315813
37.624,0.00022308254496943
37.637,0.00022321277412586
37.85,0.0002233430032823
37.862,0.00022347323243873
38.049,0.00022542666978522
38.05,0.00022724987797528
38.062,0.00022751033628815
39.075,0.00022777079460101
39.337,0.00022803125291388
39.462,0.00022816148207031
39.475,0.00022829171122674
39.5,0.00022842194038318
39.612,0.00022855216953961
39.737,0.00022881262785247
39.987,0.00022894285700891
40,0.00022907308616534
40.274,0.00022920331532177
40.275,0.00022933354447821
40.549,0.00022946377363464
40.562,0.00022959400279107
40.825,0.00022985446110394
41.074,0.00022998469026037
41.087,0.0002301149194168
41.312,0.00023024514857324
41.324,0.00023037537772967
41.612,0.0002305056068861
41.625,0.00023063583604253
41.887,0.0002308962943554
42.137,0.00023115675266827
42.15,0.0002312869818247
42.374,0.00023141721098113
42.387,0.000231677669294
42.4,0.00023180789845043
42.662,0.00023206835676329
42.674,0.00023232881507616
42.925,0.00023245904423259
42.937,0.00023271950254546
42.95,0.00023284973170189
43.149,0.00023297996085832
43.162,0.00023311019001476
43.199,0.00023324041917119
43.212,0.00023337064832762
43.45,0.00023350087748406
43.462,0.00023376133579692
43.475,0.00023389156495335
43.624,0.00023428225242265
43.625,0.00023480316904838
43.637,0.00024066348108786
43.687,0.00024079371024429
43.7,0.00024092393940073
43.999,0.00024105416855716
44.012,0.00024118439771359
44.225,0.00024131462687003
44.237,0.00024144485602646
44.537,0.00024157508518289
44.55,0.00024170531433932
44.762,0.00024183554349576
44.774,0.00024196577265219
45.05,0.00024222623096506
45.249,0.00024235646012149
45.262,0.00024248668927792
45.562,0.00024261691843435
45.574,0.00024274714759079
45.862,0.00024300760590365
46.099,0.00024313783506009
46.112,0.00024326806421652
46.362,0.00024339829337295
46.375,0.00024352852252938
46.637,0.00024365875168582
46.65,0.00024378898084225
46.887,0.00024391920999868
46.899,0.00024404943915511
47.175,0.00024430989746798
47.374,0.00024444012662441
47.437,0.00024457035578085
47.637,0.00024470058493728
47.65,0.00024483081409371
47.662,0.00024496104325014
47.687,0.00024509127240658
47.887,0.00024522150156301
47.899,0.00024535173071944
47.9,0.00024548195987588
47.962,0.00024561218903231
47.975,0.00024574241818874
48.175,0.00024587264734517
48.187,0.00024600287650161
48.212,0.00024626333481447
48.437,0.00024652379312734
48.487,0.0002467842514402
48.7,0.00024691448059664
48.712,0.00024704470975307
48.725,0.0002471749389095
48.762,0.00024730516806594
48.949,0.00024743539722237
48.95,0.0002475656263788
49.025,0.00024769585553523
49.037,0.00024782608469167
49.212,0.00025277479263611
49.224,0.00025407708420044
49.225,0.00025511891745191
49.237,0.00025524914660834
49.274,0.00025537937576477
49.275,0.0002555096049212
49.499,0.00025563983407764
49.5,0.00025577006323407
49.55,0.0002559002923905
49.562,0.00025603052154693
49.724,0.00025616075070337
49.737,0.0002562909798598
49.774,0.00025642120901623
49.825,0.00025655143817267
49.95,0.0002566816673291
50.024,0.00025681189648553
50.087,0.00025694212564196
50.1,0.0002570723547984
50.275,0.00025733281311126
50.349,0.0002574630422677
50.35,0.00025759327142413
50.562,0.00025785372973699
50.612,0.00025798395889343
50.625,0.00025811418804986
50.737,0.00025837464636273
50.837,0.00025850487551916
50.887,0.00025863510467559
51.087,0.00025889556298846
51.15,0.00025902579214489
51.162,0.00025915602130132
51.224,0.00025928625045776
51.349,0.00025941647961419
51.412,0.00025967693792705
51.624,0.00025980716708349
51.625,0.00025993739623992
51.675,0.00026006762539635
51.687,0.00026019785455279
51.887,0.00026045831286565
51.912,0.00026058854202208
51.95,0.00026071877117852
52.124,0.00026084900033495
52.125,0.00026097922949138
52.212,0.00026110945864782
52.225,0.00026123968780425
52.412,0.00026136991696068
52.425,0.00026150014611711
52.474,0.00026163037527355
52.475,0.00026176060442998
52.674,0.00026189083358641
52.675,0.00026202106274284
52.737,0.00026215129189928
52.75,0.00026228152105571
52.937,0.00026241175021214
52.949,0.00026254197936858
52.962,0.00026267220852501
53.012,0.00026280243768144
53.187,0.00026306289599431
53.275,0.00026319312515074
53.287,0.00026332335430717
53.474,0.00026345358346361
53.487,0.00026358381262004
53.537,0.0002638442709329
53.724,0.00026397450008934
53.725,0.00026410472924577
53.787,0.0002642349584022
53.799,0.00026436518755864
54.012,0.00026449541671507
54.024,0.0002646256458715
54.025,0.00026475587502793
54.075,0.00026488610418437
54.249,0.0002650163333408
54.25,0.00026514656249723
54.337,0.00026527679165367
54.35,0.0002654070208101
54.537,0.00026566747912296
54.587,0.00026592793743583
54.787,0.0002661883957487
54.849,0.00026631862490513
54.862,0.00026644885406156
55.074,0.00026657908321799
55.075,0.00026670931237443
55.1,0.00026683954153086
55.137,0.00026696977068729
55.337,0.00026723022900016
55.4,0.00026736045815659
55.412,0.00026749068731302
55.599,0.00026775114562589
55.649,0.00026788137478232
55.65,0.00026801160393875
55.849,0.00026814183309519
55.85,0.00026827206225162
55.925,0.00026840229140805
55.937,0.00026853252056449
56.099,0.00026866274972092
56.1,0.00026879297887735
56.149,0.00026892320803378
56.2,0.00026905343719022
56.387,0.00026931389550308
56.462,0.00026944412465952
56.475,0.00026957435381595
56.662,0.00026983481212881
56.724,0.00026996504128525
56.725,0.00027009527044168
56.937,0.00027035572875455
56.987,0.00027061618706741
57.112,0.00027074641622384
57.149,0.00027087664538028
57.212,0.00027100687453671
57.249,0.00027113710369314
57.462,0.00027139756200601
57.512,0.00027152779116244
57.524,0.00027165802031887
57.724,0.00027191847863174
57.774,0.00027204870778817
57.775,0.00027217893694461
57.925,0.00027230916610104
57.999,0.00027243939525747
58,0.0002725696244139
58.087,0.00027269985357034
58.174,0.00027283008272677
58.175,0.0002729603118832
58.187,0.00027309054103963
58.449,0.00027322077019607
58.45,0.0002733509993525
58.524,0.00027348122850893
58.525,0.00027361145766537
58.65,0.0002737416868218
58.687,0.00027400214513466
58.725,0.0002741323742911
58.737,0.00027426260344753
58.987,0.00027439283260396
58.999,0.0002745230617604
59.012,0.00027465329091683
59.025,0.00027478352007326
59.237,0.00027491374922969
59.25,0.00027504397838613
59.299,0.00027517420754256
59.312,0.00027530443669899
59.462,0.00027556489501186
59.512,0.00027582535332472
59.699,0.00027595558248116
59.7,0.00027608581163759
59.774,0.00027621604079402
59.787,0.00027634626995046
60.037,0.00027647649910689
60.05,0.00027660672826332
60.087,0.00027673695741975
60.099,0.00027686718657619
60.212,0.00027699741573262
60.225,0.00027712764488905
60.299,0.00027725787404549
60.312,0.00027738810320192
60.349,0.00027751833235835
60.462,0.00027764856151478
60.512,0.00027777879067122
60.574,0.00027790901982765
60.737,0.00027803924898408
60.749,0.00027816947814052
60.825,0.00027829970729695
60.837,0.00027842993645338
61.062,0.00027882062392268
61.075,0.00027895085307911
61.099,0.00027908108223554
61.112,0.00027921131139198
61.324,0.00027934154054841
61.337,0.00027947176970484
61.349,0.00027960199886128
61.35,0.00027973222801771
61.362,0.00027986245717414
61.375,0.00027999268633057
61.437,0.00028012291548701
61.462,0.00028025314464344
61.637,0.00028051360295631
61.699,0.00028064383211274
61.7,0.00028077406126917
61.787,0.0002809042904256
61.799,0.00028103451958204
61.899,0.00028116474873847
61.912,0.0002812949778949
61.987,0.00028155543620777
61.999,0.0002816856653642
62,0.00028181589452063
62.162,0.00028194612367707
62.175,0.0002820763528335
62.225,0.00028220658198993
62.237,0.00028233681114637
62.412,0.0002824670403028
62.424,0.00028259726945923
62.499,0.0002828577277721
62.5,0.00028298795692853
62.512,0.00028311818608496
62.699,0.0002832484152414
62.7,0.00028337864439783
62.749,0.00028350887355426
62.75,0.00028363910271069
62.787,0.00028389956102356
62.962,0.00028402979017999
62.975,0.00028416001933643
63,0.00028429024849286
63.012,0.00028442047764929
63.049,0.00028455070680572
63.05,0.00028468093596216
63.149,0.00028481116511859
63.162,0.00028494139427502
63.312,0.00028533208174432
63.324,0.00028546231090075
63.362,0.00028559254005719
63.574,0.00028572276921362
63.575,0.00028585299837005
63.587,0.00028598322752648
63.6,0.00028611345668292
63.612,0.00028637391499578
63.837,0.00028663437330865
63.874,0.00028676460246508
63.887,0.00028689483162151
63.9,0.00028702506077795
63.912,0.00028715528993438
64.112,0.00028767620656011
64.149,0.00028780643571654
64.15,0.00028793666487298
64.224,0.00028806689402941
64.225,0.00028819712318584
64.375,0.00028832735234228
64.387,0.00028845758149871
64.424,0.00028858781065514
64.425,0.00028871803981157
64.574,0.00028884826896801
64.575,0.00028897849812444
64.649,0.00028910872728087
64.662,0.00028923895643731
64.912,0.00028949941475017
64.962,0.00028975987306304
65.187,0.0002900203313759
65.224,0.00029015056053234
65.225,0.00029028078968877
65.437,0.0002904110188452
65.449,0.00029054124800163
65.487,0.00029067147715807
65.5,0.0002908017063145
65.712,0.00029093193547093
65.725,0.00029106216462736
65.737,0.00029132262294023
65.812,0.00029145285209666
65.974,0.0002915830812531
66.012,0.00029184353956596
66.087,0.00029197376872239
66.1,0.00029210399787883
66.287,0.00029236445619169
66.374,0.00029249468534813
66.387,0.00029262491450456
66.537,0.00029275514366099
66.549,0.00029288537281742
66.637,0.00029301560197386
66.65,0.00029314583113029
66.799,0.00029327606028672
66.8,0.00029340628944316
66.812,0.00029353651859959
66.825,0.00029366674775602
66.899,0.00029379697691245
66.9,0.00029392720606889
67.012,0.00029405743522532
67.049,0.00029418766438175
67.062,0.00029431789353819
67.074,0.00029444812269462
67.087,0.00029470858100748
67.174,0.00029496903932035
67.324,0.00029509926847678
67.325,0.00029522949763322
67.337,0.00029548995594608
67.425,0.00029575041425895
67.587,0.00029601087257181
67.612,0.00029614110172825
67.625,0.00029627133088468
67.699,0.00029640156004111
67.712,0.00029653178919754
67.837,0.00029666201835398
67.849,0.00029679224751041
67.874,0.00029692247666684
67.875,0.00029705270582327
67.937,0.00029731316413614
68.112,0.00029744339329257
68.125,0.00029757362244901
68.15,0.00029783408076187
68.2,0.0002979643099183
68.212,0.00029809453907474
68.387,0.00029822476823117
68.4,0.0002983549973876
68.412,0.00029861545570047
68.462,0.0002987456848569
68.474,0.00029887591401333
68.649,0.00029900614316977
68.65,0.0002991363723262
68.662,0.00029939683063907
68.737,0.0002995270597955
68.75,0.00029965728895193
68.899,0.00029978751810836
68.912,0.00030017820557766
68.999,0.0003003084347341
69,0.00030043866389053
69.174,0.00030056889304696
69.187,0.00030069912220339
69.212,0.00030095958051626
69.274,0.00030108980967269
69.287,0.00030122003882913
69.449,0.00030135026798556
69.45,0.00030148049714199
69.474,0.00030161072629842
69.475,0.00030174095545486
69.525,0.00030187118461129
69.537,0.00030200141376772
69.699,0.00030213164292416
