lat,cdf
4.3,7.0158142768032e-08
4.4,1.4031628553606e-07
5.875,2.8063257107213e-07
5.887,5.6126514214426e-07
5.888,7.0158142768032e-07
6.012,9.8221399875245e-07
6.013,1.1926884270565e-06
6.025,1.2628465698246e-06
6.287,1.3330047125926e-06
6.288,1.4031628553606e-06
6.813,1.4733209981287e-06
6.875,2.245060568577e-06
6.887,2.3152187113451e-06
6.937,2.3853768541131e-06
6.95,2.5958512824172e-06
6.962,2.7361675679532e-06
6.963,2.8764838534893e-06
7.162,3.1571164245614e-06
7.163,3.4377489956336e-06
7.175,3.8586978522418e-06
7.862,3.9990141377778e-06
7.863,4.1393304233139e-06
7.875,4.8409118509942e-06
7.912,4.9110699937622e-06
8.2,5.0513862792983e-06
8.212,5.1215444220663e-06
8.213,5.1917025648344e-06
8.25,5.3320188503704e-06
8.263,5.4021769931385e-06
8.337,5.4723351359065e-06
8.35,5.8231258497467e-06
8.363,5.8932839925147e-06
8.388,5.9634421352827e-06
8.787,6.3142328491229e-06
8.788,6.8053398484991e-06
8.8,7.7173957044835e-06
9.175,8.1383445610917e-06
9.187,8.6294515604679e-06
9.188,9.1907167026122e-06
9.2,9.4011911309163e-06
9.375,9.7519818447564e-06
9.387,1.0102772558597e-05
9.388,1.0383405129669e-05
9.4,1.1365619128421e-05
9.812,1.1997042413333e-05
9.813,1.2628465698246e-05
9.825,1.3330047125926e-05
10.175,1.3470363411462e-05
10.35,1.4101786696374e-05
10.362,1.5434791408967e-05
10.363,1.6908112407096e-05
10.375,1.71185868354e-05
10.5,1.7188744978168e-05
10.512,1.746937754924e-05
10.513,1.7609693834776e-05
10.6,1.8030642691384e-05
10.612,1.817095897692e-05
10.613,1.8311275262456e-05
10.7,1.8732224119065e-05
10.712,1.9293489261209e-05
10.713,1.9924912546121e-05
11.537,2.0626493973801e-05
11.538,2.1257917258714e-05
11.55,2.2029656829162e-05
11.6,2.3362661541755e-05
11.612,2.3994084826667e-05
11.613,2.4625508111579e-05
11.637,2.4695666254347e-05
11.638,2.4835982539883e-05
11.775,2.4906140682651e-05
11.8,2.5397247682028e-05
11.812,2.602867096694e-05
11.813,2.6660094251852e-05
11.825,2.6870568680156e-05
12.537,2.6940726822924e-05
12.562,2.7010884965692e-05
12.563,2.7151201251228e-05
12.575,2.8203573392749e-05
12.587,2.8414047821053e-05
12.588,2.8624522249357e-05
12.612,2.8975312963197e-05
12.613,2.9326103677037e-05
12.625,3.0588950246862e-05
12.712,3.0869582817934e-05
12.713,3.1150215389006e-05
12.725,3.2202587530527e-05
13.012,3.2272745673295e-05
13.013,3.2342903816063e-05
13.125,3.2763852672671e-05
13.137,3.4167015528032e-05
13.138,3.564033652616e-05
13.15,3.5850810954464e-05
13.162,3.6692708667681e-05
13.163,3.7674922666433e-05
13.2,3.8797452950722e-05
13.212,3.9358718092866e-05
13.213,3.991998323501e-05
13.4,4.0060299520546e-05
13.475,4.0761880948227e-05
13.487,4.1673936804211e-05
13.488,4.2515834517427e-05
13.525,4.3568206658948e-05
13.537,4.4410104372164e-05
13.538,4.5322160228149e-05
13.575,4.5532634656453e-05
13.588,4.5602792799221e-05
13.612,4.6023741655829e-05
13.613,4.6444690512437e-05
13.625,4.8619592938246e-05
13.637,4.883006736655e-05
13.638,4.9040541794854e-05
13.65,4.9251016223158e-05
13.725,4.9321174365926e-05
15.837,4.9461490651463e-05
15.838,4.9601806936999e-05
15.85,5.2267816362184e-05
15.862,5.275892336156e-05
15.863,5.3179872218168e-05
16.325,5.668777935657e-05
16.337,5.6828095642106e-05
16.338,5.6968411927642e-05
16.562,5.703857007041e-05
16.563,5.7178886355946e-05
16.8,5.7249044498714e-05
16.812,5.7459518927018e-05
16.813,5.7529677069786e-05
16.825,5.7669993355322e-05
17.813,5.774015149809e-05
17.825,5.8371574783003e-05
17.837,5.8511891068539e-05
17.838,5.8582049211307e-05
18.012,5.9283630638987e-05
18.013,5.9985212066667e-05
18.025,6.1949640064172e-05
18.125,6.201979820694e-05
18.138,6.2089956349708e-05
19.687,6.2230272635244e-05
19.688,6.2300430778012e-05
19.7,6.6439761201326e-05
20,6.6509919344094e-05
25.687,6.8123556627759e-05
25.688,6.9667035768656e-05
25.7,7.0438775339104e-05
25.913,7.0508933481872e-05
25.925,7.057909162464e-05
26,7.0859724195712e-05
26.013,7.092988233848e-05
27.95,7.2473361479377e-05
27.962,7.3876524334738e-05
27.963,7.5139370904562e-05
43.275,7.5490161618402e-05
43.462,7.556031976117e-05
43.463,7.5700636046707e-05
43.562,7.5770794189475e-05
43.563,7.5911110475011e-05
43.612,7.5981268617779e-05
43.625,7.6121584903315e-05
43.7,7.6261901188851e-05
43.725,7.6402217474387e-05
43.812,7.6542533759923e-05
43.813,7.6612691902691e-05
43.887,7.6682850045459e-05
43.888,7.6753008188227e-05
43.938,7.6823166330995e-05
43.975,7.6963482616531e-05
44.063,7.7103798902067e-05
44.112,7.7173957044835e-05
44.125,7.7244115187603e-05
44.163,7.7314273330371e-05
44.175,7.7384431473139e-05
44.225,7.7454589615907e-05
44.25,7.7524747758675e-05
44.287,7.7594905901443e-05
44.288,7.7665064044211e-05
44.3,7.7875538472516e-05
44.512,7.7945696615284e-05
44.525,7.808601290082e-05
44.612,7.8156171043588e-05
44.613,7.8296487329124e-05
44.675,7.843680361466e-05
44.775,7.8577119900196e-05
44.788,7.8647278042964e-05
44.875,7.87875943285e-05
44.887,7.8857752471268e-05
44.937,7.8927910614036e-05
44.938,7.8998068756804e-05
44.962,7.9068226899572e-05
45,8.1172971182613e-05
45.012,8.1453603753685e-05
45.013,8.1664078181989e-05
45.55,8.2085027038597e-05
45.562,8.2225343324133e-05
45.563,8.2295501466902e-05
45.575,8.236565960967e-05
45.587,8.2435817752438e-05
45.588,8.2646292180742e-05
45.6,8.4470403892711e-05
45.612,8.5242143463159e-05
45.613,8.6084041176375e-05
45.65,8.6364673747447e-05
45.662,8.6434831890215e-05
45.675,8.6715464461288e-05
45.687,8.6855780746824e-05
45.688,8.6925938889592e-05
45.812,8.699609703236e-05
45.825,8.9802422743081e-05
45.837,9.0153213456921e-05
